depth,dgrain
0.06231932,0.25674316
0.14911094,2.0683162
0.23590256,2.0683162
0.32269418,2.0683162
0.40948582,2.0683162
0.49627742,2.0683162
0.5830691,2.0683162
0.66986066,2.0683162
0.7566523,2.0683162
0.84344393,2.0683162
0.93023556,2.0683162
1.0170271,2.0683162
1.1038188,2.0683162
1.1906104,2.0683162
1.277402,2.0683162
1.3641937,2.0683162
1.4509853,2.0683162
1.537777,2.0683162
1.6245686,2.0683162
1.7113602,2.0683162
1.7981517,2.0683162
1.8849434,2.0683162
1.971735,2.0683162
2.0585268,2.0683162
2.1453183,2.0683162
2.2321098,2.0683162
2.3189015,2.0683162
2.405693,2.0683162
2.4924848,2.0683162
2.5792763,2.0683162
2.666068,2.0683162
2.7528596,2.0683162
2.8396513,2.0683162
2.9264429,2.0683162
3.0132346,2.0683162
3.1000261,2.0683162
3.1868176,2.0683162
3.2736094,2.0683162
3.360401,2.0683162
3.4471927,2.0683162
3.5339842,2.0683162
3.620776,2.0683162
3.7075675,2.0683162
3.7943592,2.0683162
3.8811507,2.0683162
3.9679425,2.0683162
4.0547338,2.0683162
4.1415257,2.0683162
4.2066193,1.5512388
4.2717133,1.5512388
4.336807,1.5512388
4.4019003,1.5512388
4.4669943,1.5512388
4.532088,1.5512388
4.597182,1.5512388
4.6622753,1.5512388
4.727369,1.5512388
4.792463,1.5512388
4.8575563,1.5512388
4.9226503,1.5512388
4.987744,1.5512388
5.052838,1.5512388
5.1179314,1.5512388
5.183025,1.5512388
5.248119,1.5512388
5.3132124,1.5512388
5.4434,1.5512388
5.5735874,1.5512388
5.703775,1.5512388
5.8339624,1.5512388
5.9641495,1.5512388
6.2245245,1.5512388
6.4848995,1.5512388
6.7452745,1.5512388
7.005649,1.5512388
7.266024,1.5512388
7.526399,1.5512388
7.7867737,1.5512388
8.307524,1.5512388
8.65469,1.4962972
9.001857,1.4962972
9.69619,1.4962972
10.390523,1.4962972
11.084855,1.4962972
11.779188,1.4962972
12.473521,1.4962972
13.862187,1.4962972
15.250854,1.4962972
16.639519,1.4962972
18.028185,1.4962972
19.416851,1.4962972
20.805517,1.4962972
22.194183,1.4962972
24.971516,1.4962972
27.748848,1.4962972
30.526178,1.4962972
33.303513,1.4962972
36.080845,1.4962972
38.858173,1.4962972
41.635506,1.4962972
