depth,snowc
0.12582971,0.026377335
0.28274766,0.050417706
0.4285788,0.050187502
0.5724977,0.05007458
0.70632327,0.050058372
0.83698785,0.05027642
0.97119,0.05040962
1.111527,0.04710036
1.4350954,0.09774227
1.5719609,0.05010378
1.7054002,0.050630417
1.8285602,0.050116237
1.9500684,0.050346363
2.0708706,0.050109066
2.1944592,0.05016292
2.3092978,0.05001384
2.4949448,0.07501821
2.7197783,0.068564184
2.8543139,0.050032035
2.9834414,0.050013997
3.24269,0.05908288
3.3878028,0.05001606
3.5124187,0.0503925
3.776344,0.10001344
4.0540967,0.10047189
4.307511,0.100303106
4.4177856,0.050016653
4.6266737,0.06428316
4.7553177,0.050118096
5.2329903,0.20075801
5.656783,0.15282963
6.238524,0.25077626
6.3316264,0.05000863
6.42504,0.050243277
6.5180683,0.05010471
6.6116357,0.05046506
6.8090205,0.09938661
6.901308,0.050007515
7.1899843,0.08180316
7.3430333,0.050011087
7.5833607,0.099933706
8.010422,0.13652256
8.161911,0.050018575
8.2825775,0.050225295
8.722175,0.15068902
9.608621,0.40145802
9.755705,0.036749937
9.993648,0.09983064
10.091302,0.05026118
10.195807,0.05000317
10.2967415,0.05006873
10.6994295,0.1769077
10.909278,0.10060843
11.009385,0.050076462
11.104027,0.050058763
11.392635,0.1477835
11.636312,0.09773298
11.737655,0.050103176
11.837811,0.05062918
12.023043,0.10045886
12.116565,0.050103992
12.21414,0.05017219
15.787377,1.521498
16.363836,0.3502944
18.045408,0.6185256
19.88518,0.86527675
20.524853,0.3485342
24.189182,1.6693138
25.222538,0.60101396
26.348757,0.41782445
28.470425,1.0314368
29.282171,0.5
29.722595,0.3
29.866997,0.1
37.106613,5.14921
40.613113,2.5486557
43.94397,2.4444122
47.3055,2.4906142
50.736214,2.5593402
54.670483,2.9666781
58.103535,2.5618093
61.2671,2.35056
64.6341,2.52528
68.24118,2.71344
72.077736,2.91504
75.19736,2.38998
78.31403,2.38998
81.15767,2.22825
84.00107,2.22825
87.46128,2.74782
92.32842,3.98856
94.92526,2.13204
97.522026,2.13204
100.235344,2.27652
102.9486,2.27652
105.77295,2.42772
108.59688,2.42772
111.556175,2.54532
114.5726,2.62596
117.68287,2.70828
