depth,snowc
0.25071424,0.066366084
0.39945203,0.050153323
0.545426,0.05003109
0.6895469,0.050035004
0.8327902,0.050256185
0.974474,0.05018076
1.1152143,0.050297618
1.2539945,0.050019264
1.493778,0.08572466
1.9231832,0.13235638
2.0694141,0.050095975
2.203787,0.05000061
2.3397503,0.050957747
2.4630024,0.05006365
2.5853586,0.050043058
2.7073689,0.050227184
2.8285487,0.050198328
2.9486253,0.050043546
3.0679605,0.050032906
3.1876135,0.05047862
3.4330158,0.08079225
3.5679064,0.0500757
3.7078712,0.05051316
3.970502,0.10028424
4.5462008,0.19922055
4.66597,0.050668273
4.7730246,0.05001708
4.879959,0.050125662
4.9869795,0.050329313
5.0939665,0.05047648
5.200188,0.050275814
5.3055634,0.050034262
5.535708,0.096559376
5.660332,0.050005198
5.783471,0.050589975
6.009727,0.100081764
6.118568,0.05012046
6.2206607,0.050020553
6.3225584,0.050052576
6.5259843,0.09590328
6.660418,0.05162011
6.7699733,0.050246816
6.8703413,0.050069943
6.971794,0.050739188
7.071653,0.050063085
7.1726255,0.050740507
7.2720513,0.050077137
7.3711376,0.05001557
7.4701695,0.050095756
7.5693755,0.05028951
7.668613,0.050410856
7.7670007,0.050081473
7.8651032,0.050037093
8.109754,0.078651056
8.235255,0.050000455
8.365687,0.050021965
8.733993,0.14711484
9.307298,0.30096874
9.620741,0.137874
10.091927,0.25128886
10.35203,0.11688692
11.012759,0.3513643
11.376064,0.15108
12.01479,0.35114443
12.993789,0.51840186
13.468796,0.21806669
14.305014,0.45165452
15.5200815,0.531248
18.22653,1.4996232
19.09408,0.3756508
22.909145,2.17889
24.113878,0.66966367
25.146463,0.48101848
26.465633,0.74935013
27.77183,0.8003527
28.597588,0.37547716
30.500202,1.158149
32.852825,1.4867342
36.852932,2.6505544
40.982857,2.8449595
45.11027,2.8449595
48.799587,2.6082172
54.082626,3.7793732
58.51152,3.2038956
62.800743,3.1848793
68.84867,4.5297217
72.213036,2.71344
77.64178,4.45236
81.591,3.24264
85.58761,3.47784
88.933784,2.84358
92.2794,2.84358
97.09339,4.12464
102.19158,4.40688
104.91438,2.31348
107.62869,2.38908
110.543945,2.46636
113.37163,2.54532
116.338585,2.62596
119.40752,2.70828
