depth,density_bulk
0.055413667,877.5342
0.1141247,878.58997
0.19974846,900.0
0.2853722,900.0
0.37099597,900.0
0.4566197,900.0
0.5422435,900.0
0.6278672,900.0
0.71349096,900.0
0.801856,900.0
0.89022094,900.0
0.97858596,900.0
1.0669509,900.0
1.1553159,900.0
1.2436808,900.0
1.3320459,900.0
1.4204109,900.0
1.5087758,900.0
1.5971408,900.0
1.6855057,900.0
1.7738707,900.0
1.8622358,900.0
1.9506007,900.0
2.0389657,900.0
2.1273308,900.0
2.2156956,900.0
2.3040607,900.0
2.3924255,900.0
2.5028818,900.0
2.613338,900.0
2.7237942,900.0
2.8342505,900.0
2.9005244,900.0
2.966798,900.0
3.0330718,900.0
3.0993454,900.0
3.1656191,900.0
3.231893,900.0
3.2981668,900.0
3.3644404,900.0
3.4528055,900.0
3.5411704,900.0
3.632335,900.0
3.7234995,900.0
3.814664,900.0
3.9058285,900.0
3.996993,900.0
4.0881577,900.0
4.1793222,900.0
4.270487,900.0
4.3616514,900.0
4.4528155,900.0
4.54398,900.0
4.6351447,900.0
4.7263093,900.0
4.817474,900.0
4.999803,900.0
5.182132,900.0
5.364461,900.0
5.54679,900.0
5.7291193,900.0
5.9114485,900.0
6.093777,900.0
6.4584355,900.0
6.834525,900.0
7.2106147,900.0
7.5867043,900.0
7.962794,900.0
8.714973,900.0
9.467153,900.0
10.161486,900.0
10.855819,900.0
11.550152,900.0
12.244484,900.0
13.63315,900.0
15.021816,900.0
16.410482,900.0
17.799149,900.0
19.187815,900.0
20.57648,900.0
23.353811,900.0
26.131144,900.0
28.908476,900.0
31.685808,900.0
34.46314,900.0
37.24047,900.0
40.017803,900.0
42.795135,900.0
45.572468,900.0
48.3498,900.0
51.127132,900.0
53.904465,900.0
56.681797,900.0
59.45913,900.0
62.236458,900.0
65.013794,900.0
67.79112,900.0
70.56846,900.0
73.34579,900.0
76.123116,900.0
