depth,snowc
0.23031235,0.09535217
0.3119159,0.073455
0.3935195,0.073455
0.47512305,0.073455
0.55672663,0.073455
0.63833016,0.073455
0.71993375,0.073455
0.80153733,0.073455
0.88314086,0.073455
0.96474445,0.073455
1.046348,0.073455
1.1279516,0.073455
1.1891543,0.05509125
1.2503569,0.05509125
1.3115596,0.05509125
1.3727623,0.05509125
1.4543658,0.073455
1.5359694,0.073455
1.617573,0.073455
1.6991765,0.073455
1.7807801,0.073455
1.8623837,0.073455
1.9455037,0.07482
2.0286236,0.07482
2.1117437,0.07482
2.208097,0.08673187
2.3044503,0.08673187
2.4140368,0.09864375
2.5236235,0.09864375
2.63321,0.09864375
2.7208793,0.078915
2.8085485,0.078915
2.8962178,0.078915
2.9893663,0.08384719
3.082515,0.08384719
3.1756635,0.08384719
3.2688122,0.08384719
3.3783987,0.09864375
3.4879851,0.09864375
3.5701752,0.07398281
3.6523652,0.07398281
3.734555,0.07398281
3.816745,0.07398281
3.9263315,0.09864375
4.035918,0.09864375
4.1235876,0.078915
4.2112565,0.078915
4.298926,0.078915
4.3865952,0.078915
4.4742646,0.078915
4.5619335,0.078915
4.649603,0.078915
4.7372723,0.078915
4.8249416,0.078915
4.9126105,0.078915
5.006812,0.084795
5.1010137,0.084795
5.195215,0.084795
5.289417,0.084795
5.3836184,0.084795
5.47782,0.084795
5.5720215,0.084795
5.666223,0.084795
5.854626,0.16959
6.0430293,0.16959
6.2314324,0.16959
6.4198356,0.16959
6.6224694,0.1824
6.8251038,0.1824
7.0277376,0.1824
7.230372,0.1824
7.63564,0.3648
8.040909,0.3648
8.51789,0.4293525
8.994872,0.4293525
9.471854,0.4293525
9.948835,0.4293525
10.718093,0.69244313
11.487351,0.69244313
12.641238,1.0386647
13.795124,1.0386647
14.949011,1.0386647
16.102898,1.0386647
17.272001,1.0523624
18.441105,1.0523624
20.576216,1.9219081
22.711327,1.9219081
24.846437,1.9219081
26.981548,1.9219081
29.203476,2.0000558
31.425404,2.0000558
33.64733,2.0000558
36.13533,2.23956
38.705452,2.31348
41.359562,2.38908
44.09952,2.46636
46.9272,2.54532
49.844463,2.62596
51.348824,1.35414
52.85318,1.35414
