depth,dgrain
0.091311395,3.216364
0.15683213,3.363816
0.22963294,3.363816
0.30243376,3.363816
0.37523457,3.363816
0.43347523,3.363816
0.49171588,3.363816
0.55209506,3.363816
0.6275691,3.363816
0.70304304,3.363816
0.77851707,3.363816
0.85399103,3.363816
0.91437024,3.363816
0.97474945,3.363816
1.0351286,3.363816
1.0955079,3.363816
1.155887,3.363816
1.2162663,3.363816
1.2922975,3.363816
1.3683286,3.363816
1.4443598,3.363816
1.520391,3.363816
1.614303,3.363816
1.708215,3.363816
1.770823,3.363816
1.833431,3.363816
1.896039,3.363816
1.958647,3.363816
2.021255,3.363816
2.083863,3.363816
2.146471,3.363816
2.209079,3.363816
2.271687,3.363816
2.3510962,3.363816
2.4305053,3.363816
2.5099144,3.363816
2.5893235,3.363816
2.6542299,3.363816
2.719136,3.363816
2.7840424,3.363816
2.8489485,3.363816
2.9138548,3.363816
2.9787612,3.363816
3.0436673,3.363816
3.1085737,3.363816
3.1734798,3.363816
3.2383862,3.363816
3.3032923,3.363816
3.3681986,3.363816
3.4331048,3.363816
3.498011,3.363816
3.5885,3.363816
3.678989,3.363816
3.7694778,3.363816
3.8599668,3.363816
3.950456,3.363816
4.0409446,3.363816
4.1314335,3.363816
4.2219224,3.363816
4.312412,3.363816
4.4029007,3.363816
4.4933896,3.363816
4.5838785,3.363816
4.6743674,3.363816
4.7648563,3.363816
4.8553452,3.363816
4.945834,3.363816
5.081568,3.363816
5.217301,3.363816
5.3530345,3.363816
5.488768,3.363816
5.624501,3.363816
5.760235,3.363816
6.0317016,3.363816
6.3031683,3.363816
6.574635,3.363816
6.846102,3.363816
7.117569,3.363816
7.6605024,3.363816
8.203436,3.363816
8.74637,3.363816
9.289304,3.363816
9.944282,3.363816
10.59926,3.363816
11.254238,3.363816
11.909216,3.363816
13.313658,3.363816
14.349311,3.363816
15.384964,3.363816
16.420618,3.363816
17.45627,3.363816
18.825356,3.363816
20.194443,3.363816
22.662712,3.363816
25.386206,3.363816
28.1097,3.363816
30.482267,3.363816
32.854836,3.363816
34.486362,3.363816
36.117886,3.363816
