depth,snowc
0.09534648,0.034775667
0.1934831,0.03600143
0.3112811,0.052324347
0.4228195,0.050266903
0.54051805,0.05193562
0.6496504,0.050200522
0.76451844,0.052929454
0.87151873,0.05011564
0.98124075,0.051527962
1.0892165,0.05092532
1.1962485,0.050019566
1.305738,0.052428313
1.4105532,0.050060607
1.5392878,0.052060686
1.6511136,0.050448395
1.7626743,0.050007973
1.872659,0.050236527
1.9805051,0.05043645
2.08774,0.05011959
2.195823,0.050078206
2.300559,0.051312115
2.4482884,0.06721206
2.54993,0.050508425
2.6571903,0.0538698
2.8429792,0.08970529
2.9465537,0.05030682
3.0512733,0.05136295
3.2709296,0.10181153
3.4756646,0.070908405
3.5934236,0.050455187
3.7095182,0.050953
3.8494136,0.057409234
3.9706194,0.050660167
4.087821,0.050884232
4.1982994,0.050302174
4.3021717,0.050134063
4.4559913,0.06534253
4.5522738,0.030806862
4.6627655,0.04231567
4.9061513,0.107504256
5.0105276,0.042146567
5.11299,0.042146567
5.3079944,0.084293135
5.4252157,0.05074965
5.532703,0.0500656
5.752183,0.10415953
5.9588246,0.101563975
6.136448,0.08096667
6.3069267,0.08096667
6.9064846,0.30693576
7.013596,0.058075853
7.1179132,0.05623189
7.2206984,0.05456539
7.317913,0.05246191
7.6183095,0.1664046
7.761781,0.075360075
7.8518066,0.050225846
7.978263,0.04887832
9.146955,0.5398104
10.315577,0.5398104
10.955818,0.24259992
12.786122,1.0167828
14.6162195,1.0167828
16.343655,0.84494495
18.780235,1.3718276
20.939386,1.0583472
23.0506,1.1836921
25.161806,1.1836921
28.68176,1.8809754
32.201393,1.8809754
35.230553,2.3767097
38.259644,2.3767097
40.735626,1.9922616
43.211594,1.9922616
45.687473,1.9922616
48.16334,1.9922616
51.384853,2.6651616
54.60633,2.6651616
57.35015,2.3328097
60.09396,2.3328097
63.3915,2.8818169
66.68902,2.8818169
69.11426,2.1432123
71.53949,2.1432123
74.73399,2.8627267
77.92898,2.8627267
79.8608,1.73892
81.93074,1.86324
84.00067,1.86324
86.21618,1.99428
88.431694,1.99428
90.80025,2.13204
93.1688,2.13204
95.6568,2.23956
98.22692,2.31348
100.88103,2.38908
103.62099,2.46636
106.44867,2.54532
109.36594,2.62596
112.37465,2.70828
