depth,density_bulk
0.1931536,525.20575
0.34771818,401.35272
0.50050414,412.02347
0.6450201,411.3474
0.78999674,406.88867
0.9255233,370.47253
1.06069,373.26984
1.2020481,410.60135
1.4276373,483.08
1.5818069,506.88
1.7207919,484.36472
1.8486781,461.04297
1.9743856,473.54672
2.0984228,483.21902
2.2167764,474.4208
2.336327,490.812
2.6637669,526.4015
2.9372005,603.2474
3.0663245,563.158
3.188002,546.3955
3.4748325,693.66876
3.6168063,612.56903
3.753735,606.5988
4.054378,636.7935
4.287819,567.99475
4.512835,561.74945
4.6158066,536.69214
5.9664063,625.4095
6.082329,591.73944
6.289401,556.964
6.3846416,528.38165
6.4813128,529.1691
6.5759597,529.9531
6.671026,530.73016
6.765179,531.5082
6.859913,532.2891
7.0499034,554.64276
7.143663,534.77496
7.272659,677.6922
7.5911727,713.5681
7.732673,669.1162
7.8550434,635.79834
7.98046,644.232
8.416031,685.5009
9.149467,663.64166
9.694301,624.18475
9.873913,566.4231
9.9814825,612.0906
10.103358,739.45966
10.232902,673.1675
10.347115,645.6552
10.657874,621.6992
10.836203,578.3092
10.923547,573.71106
11.010708,574.29926
11.150857,730.95215
11.351645,619.8315
11.631869,601.9135
11.813222,595.7658
11.973859,660.4445
12.090882,667.3015
12.195792,641.14545
12.291826,613.91833
12.387989,618.1852
12.484492,622.6761
12.576409,609.6854
12.669321,614.1879
12.938182,643.3299
13.063985,718.4225
13.388419,660.41144
13.650417,761.63635
14.044922,708.19806
14.471473,666.724
15.864821,688.52576
16.641783,626.31836
18.738775,716.0057
21.551699,683.2325
22.245768,676.5648
23.298637,743.10187
25.018034,718.7966
25.980501,666.8379
27.14983,764.21466
27.787682,738.8001
32.506817,683.9652
38.94005,688.1707
42.195522,697.9348
45.355114,707.5227
48.477074,715.0413
51.59389,722.79254
55.099873,732.8445
58.061398,734.9759
62.175987,774.1328
66.29003,774.2351
71.074234,797.8846
74.31915,806.68475
77.924194,830.75903
81.52785,831.07935
85.52069,853.9024
89.51204,854.2231
93.83656,865.6909
