depth,snic
0.057293713,0.0058709085
0.12929386,0.00776239
0.21822532,-1.2131068e-17
0.30715677,-1.2131068e-17
0.39608824,-1.2131068e-17
0.48501968,-1.2131068e-17
0.5739511,-1.2131068e-17
0.66288257,-1.2131068e-17
0.7264051,-8.665049e-18
0.78992754,-8.665049e-18
0.85345,-8.665049e-18
0.91697246,-8.665049e-18
0.9804949,-8.665049e-18
1.0440174,-8.665049e-18
1.1075399,-8.665049e-18
1.1710624,-8.665049e-18
1.2424014,-6.9320386e-18
1.3137404,-6.9320386e-18
1.3850793,-6.9320386e-18
1.4564183,-6.9320386e-18
1.5277573,-6.9320386e-18
1.5990963,-6.9320386e-18
1.6704352,-6.9320386e-18
1.7417742,-6.9320386e-18
1.8238583,0.0
1.9059423,0.0
1.9880264,0.0
2.0701103,0.0
2.1521945,0.0
2.2379863,0.0
2.323778,0.0
2.4095697,0.0
2.4953616,0.0
2.5811534,0.0
2.6669452,0.0
2.752737,0.0
2.8385286,0.0
2.9281394,0.0
3.01775,0.0
3.1073606,0.0
3.1745687,0.0
3.2417765,0.0
3.3089845,0.0
3.3761923,0.0
3.4658031,0.0
3.5554137,0.0
3.6489403,0.0
3.742467,0.0
3.8359935,0.0
3.9295204,0.0
4.023047,0.0
4.116574,0.0
4.2101,0.0
4.303627,0.0
4.4010973,0.0
4.4985676,0.0
4.5960383,0.0
4.6935086,0.0
4.7909794,0.0
4.8884497,0.0
4.98592,0.0
5.0833907,0.0
5.184333,0.0
5.285275,0.0
5.4871593,0.0
5.6890435,0.0
5.890928,0.0
6.1001163,0.0
6.3093047,0.0
6.5184937,0.0
6.727682,0.0
7.161224,0.0
7.594765,0.0
8.044193,0.0
8.493621,0.0
8.959546,0.0
9.425471,0.0
10.391539,0.0
11.170774,0.0
11.95001,0.0
12.907927,0.0
13.865842,0.0
14.955146,0.0
16.04445,0.0
17.133755,0.0
18.223059,0.0
19.533016,0.0
21.592436,0.0
23.651854,0.0
25.960318,0.0
28.26878,0.0
29.932625,0.0
31.596468,0.0
33.315304,0.0
35.14929,0.0
36.98327,0.0
38.937622,0.0
40.891975,0.0
42.97181,0.0
45.05164,0.0
